"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","Operational"
"48","134.26587004550407","28.176962485634334","0.032958984375","0.03125","0.03466796875","2280","0.00030430935799866555","32","0.00030430935799866555","0","0.00030430935799866555","0.00030430935799866555","47:0.0027207643987342267;49:0.0024034779236981885","47:68;49:68","47:0.004077423090355886;49:0.004085105322992555","Yes"
"49","349.5045844499923","105.39910343475363","0.038818359375","0.0283203125","0.04931640625","2280","0.0002960629869465838","32","0.0002960629869465838","0","0.0002960629869465838","0.0002960629869465838","48:0.0024034779236981885;50:0.0025733373403414306;38:0.001419250012106521","48:68;50:68;38:68","48:0.004085105322992555;50:0.002083539512110294;38:0.0019796422502061928","Yes"
"50","355.33167733723565","380.67329351661436","0.00244140625","0.00341796875","0.00146484375","2280","0.00017489843430184985","32","0.00017489843430184985","0","0.00017489843430184985","0.00017489843430184985","49:0.0025733373403414306;51:0.0011800705554526336","49:68;51:68","49:0.002083539512110294;51:0.003327323263329851","Yes"
"51","326.5422440423877","456.5398644146587","0.18115234375","0.1142578125","0.248046875","2280","0.000127566341820144","32","0.000127566341820144","0","0.000127566341820144","0.000127566341820144","50:0.0011800705554526336;52:0.001311633269489243;58:0.001845111385603837","50:68;52:68;58:68","50:0.003327323263329851;52:0.0029847117569751225;58:0.0037451715240796324","Yes"
"52","287.2112531236986","73.81303803663567","0.5","0.9990234375","0.0009765625","2280","0.00016992244565178265","32","0.00016992244565178265","0","0.00016992244565178265","0.00016992244565178265","51:0.001311633269489243;53:0.0016565753432632724","51:68;53:68","51:0.0029847117569751225;53:0.045351804529598","Yes"
"53","411.54860451133624","49.51781368031397","0.503662109375","0.05810546875","0.94921875","2280","0.00012437011176863602","32","0.00012437011176863602","0","0.00012437011176863602","0.00012437011176863602","39:0.0013403906198229398;52:0.0016565753432632724;54:0.0010875302274550858","39:68;52:68;54:68","39:0.0017035838546906323;52:0.045351804529598;54:0.0014449512906024309","Yes"
"54","359.94463533399005","183.06106760648706","0.502197265625","0.38720703125","0.6171875","2280","0.00033764111283675287","32","0.00033764111283675287","0","0.00033764111283675287","0.00033764111283675287","53:0.0010875302274550858;55:0.0033002952472146463","53:68;55:68","53:0.0014449512906024309;55:0.002104849647324769","Yes"
"55","368.43101071191165","102.42434274832411","0.50048828125","0.99560546875","0.00537109375","2280","0.0001696525076568769","32","0.0001696525076568769","0","0.0001696525076568769","0.0001696525076568769","59:0.001749920387229098;54:0.0033002952472146463","59:68;54:68","59:0.0018911166647162803;54:0.002104849647324769","Yes"
"56","344.7640037227389","62.19075923803732","0.008056640625","0.01416015625","0.001953125","2280","0.00024120501273919225","32","0.00024120501273919225","0","0.00024120501273919225","0.00024120501273919225","63:0.0018668436727372895;43:0.004508030079591274","63:68;43:68","63:0.0031343279607903007;43:0.003923374375399413","Yes"
"57","224.4254086616283","262.23511920407276","0.011474609375","0.01123046875","0.01171875","2280","0.0002757204407584306","32","0.0002757204407584306","0","0.0002757204407584306","0.0002757204407584306","47:0.0013952236930156736;67:0.0021117900473291984","47:68;67:68","47:0.0020229384493019864;67:0.002064452895676888","Yes"
"58","280.69205073894256","209.4859513144074","0.002685546875","0.00244140625","0.0029296875","2280","0.00011992747430742732","32","0.00011992747430742732","0","0.00011992747430742732","0.00011992747430742732","71:0.0011212032431358043;51:0.001845111385603837","71:68;51:68","71:0.0028481152621119;51:0.0037451715240796324","Yes"
"59","313.6553663799236","430.230029195123","0.502197265625","0.62451171875","0.3798828125","2280","0.00018316983893015802","32","0.00018316983893015802","0","0.00018316983893015802","0.00018316983893015802","55:0.001749920387229098;75:0.0013749647956923794","55:68;75:68","55:0.0018911166647162803;75:0.0017515102295571072","Yes"
"60","119.78374243841235","26.36225750036437","0.0009765625","0.001953125","0","2280","0.00029870647396320824","32","0.00029870647396320824","0","0.00029870647396320824","0.00029870647396320824","61:0.03369422077137796","61:68","61:0.02754647757025183","Yes"
"61","372.16055859633","70.21500212880728","0.00439453125","0.00634765625","0.00244140625","2280","0.0003056606927340394","32","0.0003056606927340394","0","0.0003056606927340394","0.0003056606927340394","76:0.0020101873685837435;60:0.03369422077137796","76:68;60:68;62:68","76:0.003782524381671176;60:0.02754647757025183","Yes"
"62","284.78393383646653","161.8223999068185","0.005859375","0.00732421875","0.00439453125","2280","0.0002508422155247677","32","0.0002508422155247677","0","0.0002508422155247677","0.0002508422155247677","63:0.00213895932549113","61:68;63:68","63:0.002995558105002377","Yes"
"63","313.1654160932544","84.24704235750858","0.010498046875","0.0166015625","0.00439453125","2280","0.000518848473225178","32","0.000518848473225178","0","0.000518848473225178","0.000518848473225178","56:0.0018668436727372895;62:0.00213895932549113;64:0.0014842761045190112","56:68;62:68;64:68","56:0.0031343279607903007;62:0.002995558105002377;64:0.004163453352292595","Yes"
"64","249.93780920065828","147.49018575949893","0.03271484375","0.0595703125","0.005859375","2280","0.00044361995762780623","32","0.00044361995762780623","0","0.00044361995762780623","0.00044361995762780623","65:0.08333026140169947;63:0.0014842761045190112","65:68;63:68","65:0.03176065380704535;63:0.004163453352292595","Yes"
