"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","Operational"
"49","279.76860569073546","132.42747889432573","0.0078125","0.01220703125","0.00341796875","2584","0.0003405451165620832","32","0.0003405451165620832","0","0.0003405451165620832","0.0003405451165620832","48:0.0026698479982155965;50:0.006321522289405385;38:0.002825239816386521","48:88;50:88;38:88","48:0.005459565257722038;50:0.004203065177397297;38:0.0021657934651932442","Yes"
"50","171.80163344040704","146.27617699929925","0.12646484375","0.12353515625","0.12939453125","2584","0.00015803931236858595","32","0.00015803931236858595","0","0.00015803931236858595","0.00015803931236858595","49:0.006321522289405385;51:0.003743960650349376","49:88;51:88","49:0.004203065177397297;51:0.003788150596253592","Yes"
"51","341.2219771083403","146.97069286207588","0.00146484375","0.001953125","0.0009765625","2584","0.00019342477456218323","32","0.00019342477456218323","0","0.00019342477456218323","0.00019342477456218323","50:0.003743960650349376;52:0.0014727677613958767;58:0.00297592853285894","50:88;52:88;58:88","50:0.003788150596253592;52:0.0024343461560519253;58:0.002574521214329384","Yes"
"52","243.3196273947512","397.725990480707","0.011962890625","0.01171875","0.01220703125","2584","0.00014991290605142623","32","0.00014991290605142623","0","0.00014991290605142623","0.00014991290605142623","51:0.0014727677613958767;53:0.0012916800697252984","51:88;53:88","51:0.0024343461560519253;53:0.0015851278980814065","Yes"
"53","345.23824323454124","424.9336007729291","0.008544921875","0.0087890625","0.00830078125","2584","0.0001427797815914699","32","0.0001427797815914699","0","0.0001427797815914699","0.0001427797815914699","39:0.0023018312621590764;52:0.0012916800697252984;54:0.001399583679479538","39:88;52:88;54:88","39:0.0018752170859743789;52:0.0015851278980814065;54:0.0010813366202457597","Yes"
"54","304.42266941848686","439.02992941574183","0.00048828125","0.00048828125","0.00048828125","2584","","32","","0","","","53:0.001399583679479538;55:0.0012328543727671282","53:88;55:88","53:0.0010813366202457597;55:0.001785913955854146","Yes"
"55","323.26482083402584","535.3983258124018","0.002197265625","0.00244140625","0.001953125","2584","0.00011521902849740311","32","0.00011521902849740311","0","0.00011521902849740311","0.00011521902849740311","59:0.0013925101965509001;54:0.0012328543727671282","59:88;54:88","59:0.0026162671932878634;54:0.001785913955854146","Yes"
"56","214.97797421974235","356.8810115223135","0.00390625","0.0068359375","0.0009765625","2584","0.00019218625136839144","32","0.00019218625136839144","0","0.00019218625136839144","0.00019218625136839144","43:0.00622108031813931","63:88;43:88","43:0.007884065521007344","Yes"
"57","43.233836770046516","59.247233372381615","0.008056640625","0.01513671875","0.0009765625","2584","0.00023749365063409431","32","0.00023749365063409431","0","0.00023749365063409431","0.00023749365063409431","47:0.005103267825775748;67:0.004086235308132402","47:88;67:88","47:0.005605865754229528;67:0.0015889261373436547","Yes"
"58","278.08873731955254","175.23482114178728","0.001953125","0.00244140625","0.00146484375","2584","0.00034839060551636986","32","0.00034839060551636986","0","0.00034839060551636986","0.00034839060551636986","71:0.0029583469535503504;51:0.00297592853285894","71:88;51:88","71:0.002834298794679113;51:0.002574521214329384","Yes"
"59","352.5020661651919","389.62852157873544","0.002197265625","0.0029296875","0.00146484375","2584","0.0002760373152573826","32","0.0002760373152573826","0","0.0002760373152573826","0.0002760373152573826","55:0.0013925101965509001;75:0.002501131198108575","55:88;75:88","55:0.0026162671932878634;75:0.0009050078265088746","Yes"
"60","319.6945443910159","526.2266949882927","0.000732421875","0.0009765625","0.00048828125","2584","","32","","0","","","61:0.0022800554258236294","61:88","61:0.0034849406780630976","Yes"
"61","318.10749852001555","291.1546589133371","0.0029296875","0.005859375","0","2584","0.00016317119906894667","32","0.00016317119906894667","0","0.00016317119906894667","0.00016317119906894667","76:0.0038815781157219564;60:0.0022800554258236294;62:0.0016818571910302282","76:88;60:88;62:88","76:0.002534849092985819;60:0.0034849406780630976;62:0.002734764966593861","Yes"
"62","300.3019484811996","364.82553091179966","0.00146484375","0.0029296875","0","2584","0.0000980897511270321","32","0.0000980897511270321","0","0.0000980897511270321","0.0000980897511270321","61:0.0016818571910302282;63:0.0018316920255809777","61:88;63:88","61:0.002734764966593861;63:0.0023256892201488633","Yes"
"63","305.8035218161346","436.4340969527601","0.00634765625","0.009765625","0.0029296875","2584","0.00020565354741254493","32","0.00020565354741254493","0","0.00020565354741254493","0.00020565354741254493","62:0.0018316920255809777;64:0.00258536256093464","56:88;62:88;64:88","62:0.0023256892201488633","Yes"
"64","281.01283232415835","437.33339258338594","0.00341796875","0.00634765625","0.00048828125","2584","0.0000893153467287464","32","0.0000893153467287464","0","0.0000893153467287464","0.0000893153467287464","65:0.0019294290638528777;63:0.00258536256093464","65:88;63:88","65:0.0024060059701301317","Yes"
"65","197.94946524053927","257.47010289938305","0.002685546875","0.00537109375","0","2584","0.0004846981065100059","32","0.0004846981065100059","0","0.0004846981065100059","0.0004846981065100059","64:0.0019294290638528777;66:0.00192066903351501;77:0.002202217579255983","64:88;66:88;77:88","64:0.0024060059701301317;66:0.007376698258465653;77:0.005552975347537792","Yes"
"66","303.329020041019","330.11347464990104","0.00341796875","0.00634765625","0.00048828125","2584","0.00038487579420998973","32","0.00038487579420998973","0","0.00038487579420998973","0.00038487579420998973","65:0.00192066903351501;67:0.0019361047272733467","65:88;67:88","65:0.007376698258465653;67:0.0015461875068394082","Yes"
